codigo,nome,descricao,compatibilidade,marca,categoriaSistema,fornecedor
16706,"BURRINHO FR D CB 250F","BURRINHO FR D CB 250F","BURRINHO FR D CB 250F",IRON,"Freios",MOTOCICLO
12342,"BURRINHO FR T NXR XRE 160/190","BURRINHO FR T NXR XRE 160/190","BURRINHO FR T NXR XRE 160/190",IRON,"Freios",MOTOCICLO
12341,"BURRINHO FR T YS 250 FAZER 05/17","BURRINHO FR T YS 250 FAZER 05/17","BURRINHO FR T YS 250 FAZER 05/17",IRON,"Freios",MOTOCICLO
17086,"BURRINHO FR D CBX 250 CB 300","BURRINHO FR D CBX 250 CB 300","BURRINHO FR D CBX 250 CB 300",IRON,"Freios",MOTOCICLO
121545,"BURRINHO FR D CG 150 15 C/CBS","BURRINHO FR D CG 150 15 C/CBS","BURRINHO FR D CG 150 15 C/CBS",IRON,"Freios",MOTOCICLO
16704,"BURRINHO FR T CB 300R","BURRINHO FR T CB 300R","BURRINHO FR T CB 300R",IRON,"Freios",MOTOCICLO
16697,"ESPELHO FR D CG 125 00/08","ESPELHO FR D CG 125 00/08","ESPELHO FR D CG 125 00/08",IRON,"Freios",MOTOCICLO
187259,"ESPELHO FR T. PHOENIX GOLD 50","ESPELHO FR T. PHOENIX GOLD 50","ESPELHO FR T. PHOENIX GOLD 50",IRON,"Freios",MOTOCICLO
187260,"ESPELHO FR D. PHOENIX GOLD 50 COMP.","ESPELHO FR D. PHOENIX GOLD 50 COMP.","ESPELHO FR D. PHOENIX GOLD 50 COMP.",IRON,"Freios",MOTOCICLO
16699,"ESPELHO FR T. JET 50 COMPLETO","ESPELHO FR T. JET 50 COMPLETO","ESPELHO FR T. JET 50 COMPLETO",IRON,"Freios",MOTOCICLO
17084,"ESPELHO FR T CRYPTON 105","ESPELHO FR T CRYPTON 105","ESPELHO FR T CRYPTON 105",IRON,"Freios",MOTOCICLO
119796,"ESPELHO FR T XTZ 125/150 CROSSER XT/TDM 225","ESPELHO FR T XTZ 125/150 CROSSER XT/TDM 225","ESPELHO FR T XTZ 125/150 CROSSER XT/TDM 225",IRON,"Freios",MOTOCICLO
119797,"ESPELHO FR D CG 125 83/99","ESPELHO FR D CG 125 83/99","ESPELHO FR D CG 125 83/99",IRON,"Freios",MOTOCICLO
187257,"BURRINHO FR D CG 150 09/14","BURRINHO FR D CG 150 09/14","BURRINHO FR D CG 150 09/14",IRON,"Freios",MOTOCICLO
187258,"BURRINHO FR D YBR 125 09","BURRINHO FR D YBR 125 09","BURRINHO FR D YBR 125 09",IRON,"Freios",MOTOCICLO
16707,"32","32","32",IRON,"Geral",MOTOCICLO
118939,"FREIO","FREIO","FREIO",IRON,"Freios",MOTOCICLO
187256,"ESPELHO FR D NXR 125 150 KS/ES","ESPELHO FR D NXR 125 150 KS/ES","ESPELHO FR D NXR 125 150 KS/ES",IRON,"Freios",MOTOCICLO
200493,"ESPELHO FR D CG 150 04/13 CG 125 09/13 KS/ES","ESPELHO FR D CG 150 04/13 CG 125 09/13 KS/ES","ESPELHO FR D CG 150 04/13 CG 125 09/13 KS/ES",IRON,"Freios",MOTOCICLO
43261,"ESPELHO FR D BIZ 125","ESPELHO FR D BIZ 125","ESPELHO FR D BIZ 125",IRON,"Freios",MOTOCICLO
17088,"ALAVANCA FR T CG 125 00/08","ALAVANCA FR T CG 125 00/08","ALAVANCA FR T CG 125 00/08",IRON,"Geral",MOTOCICLO
16703,"ALAVANCA FR D CG 150","ALAVANCA FR D CG 150","ALAVANCA FR D CG 150",IRON,"Geral",MOTOCICLO
8345,"ALAVANCA FR T NXR 125/150/160 CRF 230","ALAVANCA FR T NXR 125/150/160 CRF 230","ALAVANCA FR T NXR 125/150/160 CRF 230",IRON,"Geral",MOTOCICLO
41429,"ALAVANCA FR T CG 150/160 C/ CBS","ALAVANCA FR T CG 150/160 C/ CBS","ALAVANCA FR T CG 150/160 C/ CBS",IRON,"Geral",MOTOCICLO
202776,"ALAVANCA FR T BIZ POP 100/125/110I","ALAVANCA FR T BIZ POP 100/125/110I","ALAVANCA FR T BIZ POP 100/125/110I",IRON,"Geral",MOTOCICLO
180063,"ALAVANCA FR T XLR 125 NX/XR 150/200","ALAVANCA FR T XLR 125 NX/XR 150/200","ALAVANCA FR T XLR 125 NX/XR 150/200",IRON,"Geral",MOTOCICLO
198287,"ALAVANCA FR T YS 150 FAZER YBR 150 FACTOR","ALAVANCA FR T YS 150 FAZER YBR 150 FACTOR","ALAVANCA FR T YS 150 FAZER YBR 150 FACTOR",IRON,"Geral",MOTOCICLO
202377,"ALAVANCA FR T YES 125","ALAVANCA FR T YES 125","ALAVANCA FR T YES 125",IRON,"Geral",MOTOCICLO
175385,"ALAVANCA FR D CG 125 83/99","ALAVANCA FR D CG 125 83/99","ALAVANCA FR D CG 125 83/99",IRON,"Geral",MOTOCICLO
4328,"ALAVANCA FR T YBR 125","ALAVANCA FR T YBR 125","ALAVANCA FR T YBR 125",IRON,"Geral",MOTOCICLO
199244,"ALAVANCA FR T CG 125 83/99","ALAVANCA FR T CG 125 83/99","ALAVANCA FR T CG 125 83/99",IRON,"Geral",MOTOCICLO
199241,"ALAVANCA FR D CG 125 14/21 START 150/160","ALAVANCA FR D CG 125 14/21 START 150/160","ALAVANCA FR D CG 125 14/21 START 150/160",IRON,"Geral",MOTOCICLO
199243,"ALAVANCA FR D YBR 125","ALAVANCA FR D YBR 125","ALAVANCA FR D YBR 125",IRON,"Geral",MOTOCICLO
17128,"ALAVANCA FR T CBX 200/250 CB 300","ALAVANCA FR T CBX 200/250 CB 300","ALAVANCA FR T CBX 200/250 CB 300",IRON,"Geral",MOTOCICLO
